# in coord  element  σ(sigma)  SD(σ based on SD Gsolv)  SD(σ by 0.4 kcal/mol)       shift        σ_ref
---------------------------------------------------------------------------------------------------------
 14            h       29.00          0.000000                 0.040210          -29.00         0.000
 17            h       30.18          0.000000                 0.012630          -30.18         0.000
 18            h       29.61          0.000000                 0.013504          -29.61         0.000
 19            h       29.47          0.000000                 0.007417          -29.47         0.000
 20            h       29.84          0.000000                 0.005483          -29.84         0.000
 21            h       28.80          0.000000                 0.013000          -28.80         0.000
 22            h       26.91          0.000000                 0.016024          -26.91         0.000
 23            h       28.62          0.000000                 0.098889          -28.62         0.000
 24            h       29.37          0.000000                 0.019600          -29.37         0.000
 25            h       29.17          0.000000                 0.234105          -29.17         0.000
 26            h       27.54          0.000000                 0.028844          -27.54         0.000
 27            h       27.78          0.000000                 0.052280          -27.78         0.000
 28            h       26.48          0.000000                 0.014580          -26.48         0.000
 29            h       26.44          0.000000                 0.008320          -26.44         0.000
 30            h       26.65          0.000000                 0.027835          -26.65         0.000
 31            h       26.59          0.000000                 0.039791          -26.59         0.000
 32            h       29.25          0.000000                 0.085265          -29.25         0.000
 33            h       29.60          0.000000                 0.018824          -29.60         0.000
 34            h       29.60          0.000000                 0.018824          -29.60         0.000
 35            h       29.60          0.000000                 0.018824          -29.60         0.000
---------------------------------------------------------------------------------------------------------
