# in coord  element  σ(sigma)  SD(σ based on SD Gsolv)  SD(σ by 0.4 kcal/mol)       shift        σ_ref
---------------------------------------------------------------------------------------------------------
 14            h       28.91          0.000000                 0.048821          -28.91         0.000
 17            h       29.92          0.000000                 0.031206          -29.92         0.000
 18            h       29.58          0.000000                 0.012120          -29.58         0.000
 19            h       29.21          0.000000                 0.027069          -29.21         0.000
 20            h       30.14          0.000000                 0.029462          -30.14         0.000
 21            h       28.72          0.000000                 0.006352          -28.72         0.000
 22            h       27.35          0.000000                 0.056280          -27.35         0.000
 23            h       29.26          0.000000                 0.040914          -29.26         0.000
 24            h       29.37          0.000000                 0.050467          -29.37         0.000
 25            h       27.72          0.000000                 0.097919          -27.72         0.000
 26            h       27.36          0.000000                 0.083940          -27.36         0.000
 27            h       27.81          0.000000                 0.076671          -27.81         0.000
 28            h       26.59          0.000000                 0.003909          -26.59         0.000
 29            h       26.45          0.000000                 0.002826          -26.45         0.000
 30            h       26.54          0.000000                 0.042142          -26.54         0.000
 31            h       26.26          0.000000                 0.062668          -26.26         0.000
 32            h       29.12          0.000000                 0.192378          -29.12         0.000
 33            h       29.33          0.000000                 0.042551          -29.33         0.000
 34            h       29.33          0.000000                 0.042551          -29.33         0.000
 35            h       29.33          0.000000                 0.042551          -29.33         0.000
---------------------------------------------------------------------------------------------------------
