 CONF#  E(GFNn-xTB) ΔE(GFNn-xTB)       E [Eh]   Gsolv [Eh]         gtot      Δgtot
             [a.u.]   [kcal/mol]     b3lyp-3c   incl. in E         [Eh] [kcal/mol]
                                       [CPCM]                                     
CONF1   -46.1441968         0.00 -657.2626083    0.0000000 -657.2626083       2.61
CONF2   -46.1439952         0.13 -657.2667682    0.0000000 -657.2667682       0.00     <------
CONF3   -46.1424106         1.12 -657.2631087    0.0000000 -657.2631087       2.30
CONF4   -46.1419727         1.40 -657.2618546    0.0000000 -657.2618546       3.08
CONF5   -46.1410701         1.96 -657.2615005    0.0000000 -657.2615005       3.31
CONF6   -46.1408568         2.10 -657.2603846    0.0000000 -657.2603846       4.01
CONF7   -46.1397291         2.80 -657.2600306    0.0000000 -657.2600306       4.23
CONF8   -46.1395380         2.92 -657.2604757    0.0000000 -657.2604757       3.95
CONF9   -46.1391720         3.15 -657.2612518    0.0000000 -657.2612518       3.46
CONF10  -46.1390595         3.22 -657.2606480    0.0000000 -657.2606480       3.84
CONF11  -46.1388863         3.33 -657.2590811    0.0000000 -657.2590811       4.82
CONF12  -46.1388636         3.35 -657.2600839    0.0000000 -657.2600839       4.19
CONF13  -46.1387633         3.41 -657.2585926    0.0000000 -657.2585926       5.13
CONF14  -46.1385663         3.53 -657.2606005    0.0000000 -657.2606005       3.87
CONF15  -46.1384442         3.61 -657.2613750    0.0000000 -657.2613750       3.38
CONF16  -46.1380251         3.87 -657.2605457    0.0000000 -657.2605457       3.90
CONF17  -46.1380055         3.89 -657.2597054    0.0000000 -657.2597054       4.43
CONF18  -46.1379698         3.91 -657.2605052    0.0000000 -657.2605052       3.93
CONF19  -46.1379610         3.91 -657.2609623    0.0000000 -657.2609623       3.64
CONF20  -46.1377578         4.04 -657.2593966    0.0000000 -657.2593966       4.63
CONF21  -46.1377308         4.06 -657.2609001    0.0000000 -657.2609001       3.68
CONF22  -46.1375526         4.17 -657.2601639    0.0000000 -657.2601639       4.14
CONF23  -46.1374020         4.26 -657.2598539    0.0000000 -657.2598539       4.34
CONF24  -46.1372627         4.35 -657.2590197    0.0000000 -657.2590197       4.86
CONF25  -46.1372506         4.36 -657.2560817    0.0000000 -657.2560817       6.71
CONF26  -46.1371655         4.41 -657.2595013    0.0000000 -657.2595013       4.56
CONF27  -46.1371308         4.43 -657.2566748    0.0000000 -657.2566748       6.33
CONF28  -46.1371004         4.45 -657.2600484    0.0000000 -657.2600484       4.22
CONF29  -46.1369988         4.52 -657.2612180    0.0000000 -657.2612180       3.48
CONF30  -46.1369013         4.58 -657.2590996    0.0000000 -657.2590996       4.81
CONF31  -46.1365678         4.79 -657.2589221    0.0000000 -657.2589221       4.92
CONF32  -46.1363260         4.94 -657.2575109    0.0000000 -657.2575109       5.81
CONF33  -46.1361147         5.07 -657.2597365    0.0000000 -657.2597365       4.41
CONF34  -46.1361076         5.08 -657.2605287    0.0000000 -657.2605287       3.92
CONF35  -46.1359243         5.19 -657.2561200    0.0000000 -657.2561200       6.68
CONF36  -46.1359102         5.20 -657.2582869    0.0000000 -657.2582869       5.32
CONF37  -46.1356379         5.37 -657.2603118    0.0000000 -657.2603118       4.05
CONF38  -46.1356248         5.38 -657.2602867    0.0000000 -657.2602867       4.07
CONF39  -46.1355658         5.42 -657.2551052    0.0000000 -657.2551052       7.32
CONF40  -46.1354540         5.49 -657.2544376    0.0000000 -657.2544376       7.74
CONF41  -46.1353706         5.54 -657.2565830    0.0000000 -657.2565830       6.39
CONF42  -46.1353469         5.55 -657.2547914    0.0000000 -657.2547914       7.52
CONF43  -46.1348950         5.84 -657.2580754    0.0000000 -657.2580754       5.45
CONF44  -46.1347840         5.91 -657.2516107    0.0000000 -657.2516107       9.51
CONF45  -46.1347380         5.94 -657.2557409    0.0000000 -657.2557409       6.92
CONF46  -46.1346761         5.97 -657.2576349    0.0000000 -657.2576349       5.73
