,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
13,X,10.10,6.39,1.42,-0.10,0.04,0.25,0.06,-0.03,-0.06,0.13,-0.16,-0.46,-0.18,0.07,-0.10,0.05,0.03,0.22,0.45,0.02,0.06,-0.00,-0.08,-0.21,0.79
14,X,X,-0.18,-0.02,0.00,0.01,-0.02,0.01,-0.02,0.03,-0.12,-0.67,8.09,9.41,-0.01,0.04,0.01,-0.22,-0.21,-0.34,-0.26,1.56,-0.01,0.02,-0.01,0.06
15,X,X,X,-0.05,0.00,0.10,0.13,-0.42,0.68,0.48,-0.01,0.46,-0.00,-0.00,-0.28,0.52,-0.21,0.06,-0.04,0.01,-0.37,0.06,-0.12,0.08,0.01,0.14
20,X,X,X,X,-15.93,1.68,5.78,-0.22,1.29,0.07,0.25,-0.26,0.13,0.11,0.08,0.03,0.01,-0.01,-0.00,-0.01,0.00,0.01,0.02,-0.15,-0.19,-0.11
21,X,X,X,X,X,12.15,1.85,-0.23,-0.09,0.02,-0.41,-0.18,-0.12,0.07,0.03,-0.00,0.00,-0.11,0.01,-0.02,0.00,0.02,0.01,-0.45,1.63,0.04
22,X,X,X,X,X,X,-15.72,12.41,3.49,-0.20,0.02,0.02,0.08,0.14,-0.11,0.05,0.10,0.01,0.01,-0.00,0.00,0.00,-0.00,-0.37,-0.04,0.03
23,X,X,X,X,X,X,X,3.57,3.37,-0.13,0.43,-0.03,-0.01,0.02,0.19,-0.04,-0.07,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.01,-0.08,-0.00
24,X,X,X,X,X,X,X,X,-15.68,10.58,0.00,-0.01,-0.00,-0.00,-0.31,-0.21,-0.13,0.01,-0.00,-0.00,0.00,0.00,0.01,0.06,0.12,0.00
25,X,X,X,X,X,X,X,X,X,1.72,0.07,0.03,-0.00,0.00,0.74,-0.14,-0.18,-0.00,-0.01,-0.00,0.01,-0.00,0.03,0.02,-0.00,-0.01
26,X,X,X,X,X,X,X,X,X,X,0.00,0.01,0.01,0.03,3.32,3.11,12.02,-0.00,0.18,-0.00,0.02,0.00,0.07,-0.25,0.03,-0.01
27,X,X,X,X,X,X,X,X,X,X,X,-13.01,11.85,7.22,-0.00,-0.00,-0.00,0.13,0.05,0.24,-0.00,-0.01,0.00,0.52,-0.26,-0.18
28,X,X,X,X,X,X,X,X,X,X,X,X,6.51,0.96,0.00,0.01,-0.00,0.06,0.02,0.06,0.01,0.16,-0.02,-0.44,-0.20,0.06
29,X,X,X,X,X,X,X,X,X,X,X,X,X,-14.15,0.00,-0.00,-0.00,-0.57,0.03,-0.13,-0.01,-0.03,0.01,-0.09,0.09,0.00
30,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-0.00,0.01,-0.00,-0.07,0.13,-0.09,-0.01,-0.05,0.03,0.44,-0.04,0.03
31,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-13.93,-13.83,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,0.01
32,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-13.80,0.00,-0.01,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,-0.00
33,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-0.00,-0.00,-0.00,-0.00,0.00,-0.01,0.01,-0.00,0.02
34,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-13.59,-15.84,4.07,-0.01,0.63,-0.00,0.01,-0.00
35,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-14.29,0.03,-0.07,0.56,-0.00,0.00,0.00
36,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.47,0.01,-0.13,-0.00,0.03,0.04
37,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-14.88,-13.85,-0.00,-0.00,0.00
38,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-13.57,-0.00,0.00,0.03
39,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-0.00,0.00,0.01
40,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-14.35,-13.75
41,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-14.31
42,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
