,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
13,X,8.74,9.39,-0.38,-0.05,0.31,0.28,0.00,0.01,-0.37,0.98,-0.38,-0.49,-0.08,0.07,0.01,0.05,0.01,-0.03,-0.02,0.02,0.00,0.05,-0.20,-0.08,0.64
14,X,X,-0.38,0.17,0.03,0.02,-0.00,0.02,0.01,-0.04,0.33,-0.56,2.39,10.05,0.01,0.18,0.07,-0.14,0.01,1.26,-0.19,0.22,-0.11,0.04,0.10,0.06
15,X,X,X,0.04,0.03,0.00,0.02,-0.13,-0.23,8.70,-0.03,-0.05,-0.02,0.00,-0.13,-0.35,-0.11,0.08,-0.01,0.05,-0.10,0.12,-0.19,0.03,0.02,-0.07
20,X,X,X,X,-15.95,0.51,8.14,-0.04,0.97,0.02,0.00,-0.23,-0.02,0.01,0.07,0.05,0.00,0.00,-0.00,0.03,0.00,0.02,0.00,-0.10,0.79,-0.21
21,X,X,X,X,X,10.15,0.62,-0.41,0.15,-0.00,-0.18,-0.37,0.00,0.06,0.05,0.03,0.00,0.00,-0.00,-0.01,-0.00,-0.00,0.00,-0.06,2.57,-0.01
22,X,X,X,X,X,X,-15.27,11.66,1.81,-0.18,0.02,-0.03,0.11,0.03,-0.11,-0.00,0.10,-0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.29,-0.08,0.01
23,X,X,X,X,X,X,X,2.27,4.90,-0.38,0.05,0.13,0.20,0.00,0.27,-0.01,-0.05,0.00,0.00,-0.00,0.00,-0.00,0.00,0.01,0.05,0.01
24,X,X,X,X,X,X,X,X,-15.19,10.73,0.00,0.00,-0.00,-0.00,-0.02,-0.16,-0.18,-0.00,0.00,-0.00,-0.01,-0.00,-0.00,0.05,0.11,-0.01
25,X,X,X,X,X,X,X,X,X,3.96,-0.00,0.01,0.00,-0.01,0.03,-0.08,-0.21,0.00,0.07,0.00,0.02,0.00,0.00,-0.00,0.03,0.02
26,X,X,X,X,X,X,X,X,X,X,0.09,0.03,0.02,0.02,4.10,2.72,10.36,0.00,-0.00,0.00,0.08,-0.01,0.06,0.00,0.00,0.01
27,X,X,X,X,X,X,X,X,X,X,X,-13.61,1.58,7.34,0.00,0.00,0.01,0.02,-0.00,0.03,0.03,-0.02,0.05,0.53,-0.18,-0.18
28,X,X,X,X,X,X,X,X,X,X,X,X,7.60,11.24,0.00,0.01,-0.00,0.01,0.00,-0.00,0.06,-0.03,-0.09,2.29,-0.24,0.00
29,X,X,X,X,X,X,X,X,X,X,X,X,X,-15.28,-0.01,0.00,-0.01,-0.01,0.03,0.05,-0.27,-0.09,-0.11,-0.13,0.01,0.07
30,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.01,-0.00,-0.00,-0.02,0.00,0.04,0.09,0.14,0.16,0.04,-0.17,0.04
31,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-14.44,-14.10,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00
32,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-13.65,0.00,-0.00,0.00,-0.01,0.00,-0.00,-0.00,-0.00,-0.00
33,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.00,-0.00,0.00,-0.01,0.00,-0.00,-0.00,-0.00,-0.00
34,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-13.84,-15.00,0.60,-0.06,3.54,-0.00,-0.00,-0.00
35,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-13.64,0.49,-0.02,0.45,-0.00,-0.00,-0.00
36,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-0.04,0.05,0.27,-0.00,-0.00,0.00
37,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-14.25,-13.64,-0.00,-0.00,-0.00
38,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-15.56,0.02,0.01,-0.00
39,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.01,0.00,-0.00
40,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-14.36,-14.04
41,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-13.98
42,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
